date || procces || module || comment || code request
2025-03-03 11:44:10 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:52:44 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:55:39 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:55:57 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:19 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:19 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:19 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:19 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:19 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:19 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:19 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:19 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:44 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:44 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:44 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:44 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:44 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:44 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:44 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:44 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:52 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:52 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:52 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:52 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:52 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:52 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:58:52 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:58:52 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:59:30 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:59:30 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:59:30 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:59:30 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:59:30 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:59:30 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 11:59:30 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 11:59:30 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:00:09 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:00:09 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:00:09 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:00:09 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:00:09 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:00:09 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:00:09 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:00:09 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:00:55 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:00:55 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:00:55 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:00:55 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:00:55 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:00:55 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:00:55 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:00:55 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:00:55 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:00:55 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:01:32 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:01:32 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:01:32 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:01:32 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:01:32 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:01:32 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:01:32 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:01:32 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:01:32 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:03:55 || Error socket: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение || Mailing_request.make_request || Socket error when sending data || 0
2025-03-03 12:03:57 || Error socket: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение || Mailing_request.make_request || Socket error when sending data || 0
2025-03-03 12:03:59 || Error socket: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение || Mailing_request.make_request || Socket error when sending data || 0
2025-03-03 12:04:01 || Error socket: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение || Mailing_request.make_request || Socket error when sending data || 0
2025-03-03 12:04:03 || Error socket: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение || Mailing_request.make_request || Socket error when sending data || 0
2025-03-03 12:05:28 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:05:28 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:05:28 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:05:28 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:05:28 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:05:28 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:05:28 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:05:28 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:05:28 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:06:50 || Error socket: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение || Mailing_request.make_request || Socket error when sending data || 0
2025-03-03 12:06:52 || Error socket: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение || Mailing_request.make_request || Socket error when sending data || 0
2025-03-03 12:06:54 || Error socket: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение || Mailing_request.make_request || Socket error when sending data || 0
2025-03-03 12:06:56 || Error socket: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение || Mailing_request.make_request || Socket error when sending data || 0
2025-03-03 12:06:58 || Error socket: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение || Mailing_request.make_request || Socket error when sending data || 0
2025-03-03 12:09:06 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:09:06 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:09:06 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:09:06 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:09:06 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:09:06 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:09:06 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:09:06 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:09:06 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:09:20 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:09:20 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:09:20 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:09:20 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:09:20 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:09:20 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:09:20 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:09:20 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:09:20 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:09:20 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:10:44 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:10:44 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:10:44 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:10:44 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:10:44 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:10:44 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:10:44 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:10:44 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:26:24 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:26:24 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:26:24 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:26:24 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:26:24 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:26:24 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:26:24 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:26:24 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:27:35 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:27:35 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:27:35 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:27:35 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:27:35 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:27:35 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:27:35 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:27:35 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:27:35 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:35:16 || verification || login_verification || Entrance: Danil || 0
2025-03-03 12:35:42 || create request || creating_mailing || Creating a mailing list || 0
2025-03-03 12:35:42 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:36:54 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 401
2025-03-03 12:39:09 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:39:09 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:39:09 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:39:09 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:39:09 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:39:09 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:39:09 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:39:09 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:40:33 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:40:33 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:40:33 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:40:33 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:40:33 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
2025-03-03 12:40:33 || Accept data from server || Mailing_request.read_response || Successful accept of data from the server. || 200
2025-03-03 12:40:33 || Send data on server || Mailing_request.make_request || Successful send data on server || 0
